,Value,abc,Abc,aBc,abC,ABc,AbC,aBC,ABC,vA_A,vB_A,vC_A,B_mult,C_mult
1,0.617857521,0.090363207,0.042993505,0.122323503,0.072072342,0.087867008,0.028412604,0.398949203,0.157018628,1,0.765661332,0.050466351,0.35710188,0.630895204
2,0.969872276,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,1,1,1
3,0.661558877,0.032859865,0.17234482,0.038161596,0.17208275,0.076976642,0.134513145,0.186487876,0.186573306,1,0.705903735,0.628472155,0.034644759,0.365228063
4,0.620033399,0.112960631,0.135550089,0.045788321,0.199792531,0.201468461,0.143544689,0.081227537,0.079667743,1,0.643299046,0.779250529,0.680283603,0.089542097
5,0.205770237,0.263787082,0.051610729,0.171249686,0.185185109,0.115981073,0.004319278,0.135117382,0.072749661,1,0.371320371,0.504643371,0.892815514,0.321711709
6,0.511288993,0.195784196,0.181863777,0.160674428,0.016419285,0.035961707,0.182585037,0.157740615,0.068970955,1,0.598420034,0.878785198,0.061835349,0.491187647
7,0.412187203,0.218596475,0.141021748,0.036396721,0.16457848,0.121351744,0.137005163,0.161377384,0.019672286,1,0.424692243,0.612473665,0.522504727,0.705533405
8,0.365533084,0.078638638,0.147546047,0.177393227,0.195052585,0.071314965,0.07180194,0.105251906,0.153000693,1,0.407457785,0.26154429,0.693944897,0.385689595
9,0.77775226,0.041632204,0.138771736,0.172713441,0.188737161,0.13813805,0.100808296,0.102166493,0.117032619,1,0.996717537,0.946200873,0.199266469,0.693135113
10,0.586660539,0.103305076,0.235176799,0.058165622,0.044145514,0.032903238,0.24921135,0.251113046,0.025979355,1,0.237049974,0.580190869,0.757185909,0.945448702
11,0.563877573,0.156333353,0.14479087,0.145631213,0.200360773,0.12581356,0.065602207,0.00082631,0.160641714,1,0.957990441,0.020474535,0.658118558,0.369144385
12,0.847237625,0.048843008,0.094560017,0.220061066,0.026789287,0.174351932,0.055602828,0.243190267,0.136601594,1,0.761769583,0.847981893,0.830200711,0.739636839
13,0.475175525,0.108228015,0.008897134,0.073876622,0.143214421,0.125503605,0.213424514,0.141195814,0.185659874,1,0.4415806,0.219477957,0.023425173,0.70432361
14,0.506663982,0.051592588,0.069212391,0.050827996,0.151110302,0.31053544,0.048594077,0.168662162,0.149465043,1,0.047530846,0.493662936,0.607017821,0.701263501
15,0.736406571,0.00042075,0.088177379,0.085995069,0.286786855,0.158966538,0.282771653,0.055776895,0.041104862,1,0.363267331,0.93065437,0.944239712,0.459696237
16,0.274600342,0.159473157,0.064324086,0.218381846,0.130898518,0.082703873,0.026793484,0.092417614,0.225007422,1,0.189872255,0.050969445,0.28155138,0.988648804
17,0.390288845,0.14611388,0.207308995,0.130540304,0.03827957,0.184022758,0.09796711,0.166707542,0.029059841,1,0.292050336,0.032654814,0.81583915,0.323273432
18,0.245189412,0.204424068,0.017277739,0.177467162,0.14340502,0.015745523,0.251946461,0.150590469,0.039143559,1,0.280712736,0.330108231,0.05365076,0.054953208
19,0.669287197,0.045534741,0.34051341,0.160060298,0.120783026,0.119008781,0.051670396,0.002635765,0.159793582,1,0.925191471,0.114134304,0.297672473,0.668580068
20,0.679006306,0.230117084,0.051893027,0.1791618,0.100055266,0.09462966,0.13481709,0.018265156,0.191060916,1,0.860422767,0.60431976,0.91452456,0.477134373
21,0.482509054,0.125863232,0.106299478,0.198260436,0.122935905,0.008070569,0.157603229,0.195598919,0.085368232,1,0.641475295,0.641391404,0.763073813,0.310601891
22,0.599602686,0.187250035,0.162162586,0.133304535,0.024196733,0.151329959,0.124659438,0.111250835,0.105845879,1,0.924329148,0.158706658,0.532655003,0.069929607
23,0.501763762,0.197103804,0.084730567,0.132971862,0.127287465,0.026222309,0.105843536,0.240107977,0.085732479,1,0.945709417,0.462926394,0.648961303,0.915423058
24,0.354668199,0.271800263,0.114509098,0.179604487,0.246613501,0.040452701,0.068918754,0.006908465,0.07119273,1,0.837758656,0.791625217,0.181189435,0.84272628
25,0.560673751,0.149513575,0.165710082,0.176286149,0.117035537,0.07242236,0.077079015,0.090950315,0.151002967,1,0.813723361,0.468569797,0.745363846,0.369658265
26,0.829936952,0.071938197,0.022392582,0.14236627,0.254191229,0.140142353,0.153140821,0.006046862,0.209781686,1,0.929975235,0.807744173,0.662894696,0.283011603
27,0.484026106,0.194710389,0.246563328,0.039184338,0.016240904,0.195535256,0.069537388,0.107435653,0.130792745,1,0.209989011,0.194363767,0.338052759,0.022603906
28,0.768848971,0.053421522,0.224047348,0.095351743,0.060662128,0.085935403,0.185196735,0.148075308,0.147309813,1,0.433165069,0.813667002,0.683589231,0.72978746
29,0.714835822,0.054560045,0.169047954,0.094020899,0.114540904,0.229780755,0.166784986,0.026677755,0.144586702,1,0.026215842,0.837267118,0.546280285,0.456957581
30,0.549227862,0.122438999,0.098666795,0.203437144,0.054192651,0.071119791,0.177762342,0.236912462,0.035469816,1,0.619112815,0.730925683,0.25671564,0.937395437
31,0.701657423,0.048666607,0.135285316,0.252452671,0.185029509,0.124357521,0.007128187,0.025375487,0.221704702,1,0.924404922,0.669624723,0.183956116,0.80564435
32,0.6738123,0.117645006,0.198128927,0.056835214,0.078568079,0.197460721,0.168540844,0.101150839,0.08167037,1,0.168340095,0.996202972,0.284510487,0.484095532
33,0.443439342,0.025698314,0.181583164,0.03428967,0.14671262,0.176839313,0.036074074,0.19551612,0.203286725,1,0.017008837,0.15480861,0.214097485,0.091891835
34,0.702186735,0.096991276,0.265325912,0.113731172,0.029334937,0.191079144,0.007319658,0.133379415,0.162838488,1,0.745488747,0.82344406,0.103262338,0.045242685
35,0.647886164,0.127869699,0.045083948,0.180461253,0.104009129,0.20613735,0.035702282,0.07413831,0.22659803,1,0.612984861,0.613690197,0.390214681,0.658712227
36,0.601326547,0.027346418,0.194801155,0.170154123,0.150917835,0.208451923,0.149228167,0.031260741,0.067839637,1,0.848695659,0.12991671,0.155349514,0.184594542
37,0.497817343,0.053789086,0.250409215,0.141384366,0.094425603,0.148578554,0.065310459,0.079181948,0.16692077,1,0.001515464,0.423940306,0.738231246,0.34567971
38,0.611912723,0.1476644,0.153563487,0.103197363,0.094019812,0.069328138,0.136738491,0.133042894,0.162445416,1,0.966033621,0.264977538,0.175406901,0.994732626
39,0.505772026,0.198688229,0.13889137,0.118194851,0.105335697,0.06016715,0.072020692,0.117847642,0.188854368,1,0.288477316,0.646111043,0.749499154,0.95588028
40,0.436928072,0.157431027,0.122404673,0.177769034,0.11141209,0.122334086,0.138675814,0.08300146,0.086971815,1,0.51816564,0.393559402,0.740876596,0.028071608
41,0.381145955,0.131046348,0.00055593,0.237000032,0.203250854,0.232824691,0.014302694,0.037741521,0.143277931,1,0.428778913,0.193444861,0.847471126,0.838500348
42,0.28650037,0.170712111,0.011073978,0.153430508,0.187726615,0.138901534,0.003568785,0.177619167,0.156967302,1,0.356184764,0.442064865,0.613530625,0.601982018
43,0.413948578,0.076809683,0.172989626,0.174840129,0.165654735,0.053722203,0.060477278,0.192464197,0.103042149,1,0.427277794,0.901013697,0.535134382,0.041380231
44,0.679305223,0.141972287,0.184632555,0.002347432,0.101428849,0.171619708,0.108423082,0.153413534,0.136162552,1,0.95058434,0.018527204,0.671768154,0.652712146
45,0.540940904,0.08828684,0.004100053,0.084469232,0.213349619,0.173872893,0.173804102,0.215786055,0.046331206,1,0.657004106,0.784143084,0.309472024,0.48605389
46,0.853592709,0.301293176,0.125521156,0.016557115,0.005204356,0.023024786,0.240976214,0.017046474,0.270376723,1,0.839745322,0.669895525,0.358764418,0.622843362
47,0.758634782,0.135284482,0.169272777,0.09607261,0.006268785,0.175516782,0.133993275,0.125895743,0.157695548,1,0.845483964,0.280420288,0.812601495,0.862625206
48,0.477310597,0.059633611,0.183692626,0.125011331,0.039913977,0.08253144,0.218660144,0.175192875,0.115363997,1,0.378491769,0.288100073,0.141294807,0.395348005
49,0.688156683,0.070009852,0.227222535,0.185865372,0.109505708,0.116602885,0.151867992,0.048699068,0.090226589,1,0.793475762,0.677050422,0.854571925,0.316983791
50,0.472073376,0.203744321,0.109628975,0.08912255,0.208535865,0.07018376,0.058840201,0.21044562,0.049498709,1,0.714076041,0.720470162,0.969236771,0.643487125
51,0.461325138,0.095309574,0.102882984,0.143465946,0.161253546,0.15838278,0.105934326,0.164376662,0.068394183,1,0.052429627,0.638096028,0.056132012,0.95682063
52,0.457675693,0.159339999,0.092712671,0.085280346,0.189647528,0.086871272,0.20337811,0.031323386,0.151446688,1,0.040826114,0.410689829,0.379341757,0.46092919
53,0.588397078,0.160729098,0.01845323,0.18336683,0.148540715,0.095658797,0.088185567,0.127007595,0.178058169,1,0.936668441,0.097527347,0.922499284,0.823790438
54,0.424317731,0.089907837,0.161007285,0.165319445,0.087447213,0.009085231,0.171328802,0.110723616,0.205180571,1,0.142826552,0.247772279,0.237743286,0.66123773
55,0.761852568,0.128767689,0.142828643,0.098927359,0.053147314,0.102901697,0.093821967,0.110161439,0.269443893,1,0.420974464,0.739256303,0.948501314,0.004478943
56,0.778520029,0.116732628,0.160864754,0.119077327,0.094283919,0.00826462,0.155276751,0.138646702,0.206853299,1,0.784430679,0.69394503,0.858443436,0.408002099
57,0.838237288,0.034551829,0.045214757,0.16009141,0.105577561,0.152714932,0.170103442,0.184014197,0.147731872,1,0.930389318,0.424780192,0.895818795,0.618140545
58,0.507817403,0.096591021,0.118472063,0.237288404,0.036124088,0.081942552,0.096640317,0.093044958,0.239896597,1,0.454123224,0.258032141,0.556021059,0.368678869
59,0.409095372,0.189820391,0.056359399,0.026092167,0.207330237,0.164889667,0.133830602,0.185534737,0.036142799,1,0.801817543,0.357652353,0.570136799,0.377642482
60,0.480196052,0.195236036,0.050449917,0.139869407,0.200782237,0.078670394,0.114054318,0.064907318,0.156030374,1,0.777432137,0.296588768,0.989613054,0.626992357
61,0.479300151,0.165672713,0.121557407,0.15011789,0.206404736,0.185015976,0.089012687,0.074879357,0.007339234,1,0.820543774,0.897518354,0.735924407,0.128419654
62,0.705125292,0.014245842,0.144006875,0.172322819,0.176308568,0.092888278,0.130174923,0.118899685,0.15115301,1,0.951771281,0.603247732,0.582652513,0.290751178
63,0.282012654,0.204105247,0.182568054,0.064475754,0.180858656,0.152051603,0.014962213,0.173945535,0.027032937,1,0.499131035,0.260680778,0.143933384,0.079832105
64,0.564139295,0.084441484,0.122393983,0.142492768,0.270923215,0.064219376,0.029548188,0.103612851,0.182368135,1,0.75265661,0.628195444,0.953626759,0.229421407
65,0.262876177,0.19838859,0.006700126,0.261240174,0.149262986,0.278514988,0.041144774,0.051704947,0.013043415,1,0.353517177,0.051667093,0.378766817,0.394362409
66,0.648868515,0.208480873,0.224581705,0.137349283,0.02856157,0.132597921,0.040851907,0.082970119,0.144606621,1,0.840778332,0.724036971,0.585300335,0.358030877
67,0.411235302,0.075241123,0.170064554,0.20447249,0.155468429,0.093085,0.01151326,0.153966418,0.136188726,1,0.621483973,0.122967233,0.602287866,0.557914735
68,0.580506321,0.236152534,0.164852657,0.193054124,0.063423833,0.155447509,0.048148753,0.000331694,0.138588895,1,0.724892122,0.804169372,0.547232506,0.108181993
69,0.424084524,0.173462511,0.027359475,0.288383368,0.16158393,0.053862155,0.134589672,0.154197,0.006561889,1,0.945573599,0.669258203,0.796111728,0.374269232
70,0.397643217,0.128661401,0.108085511,0.117128212,0.217507998,0.078376358,0.018889612,0.26843567,0.062915239,1,0.956236788,0.881347085,0.177222433,0.441062539
71,0.795942355,0.108836945,0.133621787,0.111398006,0.095936025,0.121051385,0.208512012,0.035174523,0.185469317,1,0.113436986,0.989284054,0.999813037,0.700130669
72,0.580255657,0.113623291,0.164218225,0.135500519,0.098090756,0.04021625,0.144139222,0.0814343,0.222777436,1,0.362270098,0.601756974,0.202902485,0.250127677
73,0.550433776,0.226837186,0.052827912,0.057869373,0.083338035,0.201941663,0.106069576,0.097767892,0.173348364,1,0.617475482,0.305087144,0.314614525,0.651191128
74,0.564292748,0.02394589,0.201823589,0.166020535,0.041202725,0.051711279,0.207159994,0.117116079,0.191019909,1,0.433315207,0.025445707,0.747663259,0.579648598
75,0.618406323,0.084748649,0.195200579,0.205109507,0.127073565,0.069594008,0.174562598,0.004139974,0.13957112,1,0.105851404,0.942696093,0.139539283,0.025728916
76,0.533354701,0.047345064,0.197451875,0.222429473,0.22653183,0.019287751,0.052554715,0.153700499,0.080698794,1,0.725153476,0.695808508,0.948045977,0.509589174
77,0.738756912,0.157526704,0.253405683,0.010324521,0.069932182,0.05184858,0.22402677,0.062628878,0.170306682,1,0.958749502,0.469990359,0.401128007,0.488398903
78,0.725717987,0.100234403,0.032349384,0.187783666,0.106853583,0.186391849,0.056011699,0.170827818,0.159547598,1,0.778456214,0.481290557,0.980669271,0.435496098
79,0.551948553,0.119364338,0.169837095,0.113431918,0.129974969,0.036410557,0.144162508,0.154458969,0.132359646,1,0.744075843,0.436391533,0.796588828,0.200527853
80,0.586240227,0.13133576,0.214217101,0.215778422,0.035830327,0.017262627,0.097876031,0.069882843,0.217816889,1,0.016513052,0.914337111,0.722143535,0.244170434
81,0.533195284,0.171436743,0.125041126,0.142919035,0.096278473,0.075555488,0.169574086,0.116855293,0.102339756,1,0.550554701,0.769629022,0.584231613,0.124811281
82,0.503262379,0.173605892,0.118008522,0.176738591,0.180975174,0.143446186,0.050935391,0.003019213,0.153271031,1,0.648389967,0.380836665,0.95405846,0.186237502
83,0.418502799,0.229968847,0.100976806,0.085805912,0.144104883,0.030353613,0.044238296,0.1682347,0.196316944,1,0.42072964,0.604408245,0.789142048,0.043855218
84,0.421771471,0.112108519,0.022892995,0.195683101,0.011492346,0.178987851,0.175089522,0.192776539,0.110969128,1,0.311781672,0.331221101,0.373468803,0.792303643
85,0.820916887,0.165822772,0.167324807,0.034951206,0.121336759,0.073038489,0.16859978,0.116546398,0.152379788,1,0.864906991,0.787875802,0.100225854,0.919590143
86,0.939625418,0.122483058,0.047051124,0.091998001,0.210501515,0.121882902,0.028983575,0.131384832,0.245714994,1,0.999406484,0.925386419,0.999775846,0.043201494
87,0.566992972,0.176395751,0.108236484,0.151875774,0.089491417,0.053373346,0.184539915,0.069465376,0.166621938,1,0.751596749,0.452365536,0.568226665,0.688088094
88,0.324036772,0.236770131,0.025397997,0.319219978,0.08883547,0.034460763,0.008112864,0.257744031,0.029458766,1,0.575430789,0.946127655,0.1100279,0.975432277
89,0.415035648,0.180181927,0.164927227,0.105434349,0.147475194,0.150203776,0.120062205,0.099515877,0.032199445,1,0.354885374,0.802888518,0.690381572,0.125677032
90,0.5112949,0.046264847,0.062390568,0.053095244,0.190911511,0.16295471,0.162445815,0.182814453,0.139122851,1,0.146311625,0.440381779,0.717147599,0.833967602
